Line#,Date,"Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP)","Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP)","RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP)","Dew Point (S-THC 21246400:21262596-3), *C, PATFA1 (INIAP)","Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP)","Gust Speed (S-WSB 21246400:21262656-2), m/s, PATFA1 (INIAP)","Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP)"
6104,09/03/22 00:00:00,0,24.357,89.064,22.467,0,0.5,105
6105,09/03/22 00:05:00,0,24.25,89.499,22.442,0,1.5,105
6106,09/03/22 00:10:00,0,24.164,90.098,22.467,0,1,105
6107,09/03/22 00:15:00,0,24.121,90.556,22.508,0,0.5,105
6108,09/03/22 00:20:00,0,24.057,91.397,22.597,0,0,105
6109,09/03/22 00:25:00,0,24.035,91.479,22.591,0,0,105
6110,09/03/22 00:30:00,0,24.035,92.122,22.706,0,0,105
6111,09/03/22 00:35:00,0,24.014,92.245,22.707,0,0,105
6112,09/03/22 00:40:00,0,24.014,92.493,22.751,0,0.5,105
6113,09/03/22 00:45:00,0,24.078,93.196,22.94,0,0,105
6114,09/03/22 00:50:00,0,23.992,92.967,22.815,0,0.5,105
6115,09/03/22 00:55:00,0,23.992,92.95,22.812,0,1,105
6116,09/03/22 01:00:00,0,23.992,93.246,22.864,0,0.5,105
6117,09/03/22 01:05:00,0,24.014,92.383,22.732,0,0,105
6118,09/03/22 01:10:00,0,23.992,92.876,22.798,0,0,105
6119,09/03/22 01:15:00,0,24.035,93.082,22.877,0,0,105
6120,09/03/22 01:20:00,0,24.1,93.141,22.952,0,0,105
6121,09/03/22 01:25:00,0,24.078,93.367,22.971,0,0,105
6122,09/03/22 01:30:00,0,24.035,93.727,22.992,0,0,105
6123,09/03/22 01:35:00,0,24.143,93.7,23.093,0,0,102
6124,09/03/22 01:40:00,0,24.207,92.827,23.002,0.5,2.5,326
6125,09/03/22 01:45:00,0,24.207,92.95,23.024,0,0.5,330
6126,09/03/22 01:50:00,0,24.185,92.786,22.974,0,2,313
6127,09/03/22 01:55:00,0,24.057,93.37,22.95,0,2,313
6128,09/03/22 02:00:00,0,24.035,93.06,22.874,0,1.5,310
6129,09/03/22 02:05:00,0,24.057,93.248,22.928,0,1,288
6130,09/03/22 02:10:00,0,24.078,92.845,22.878,0,1,285
6131,09/03/22 02:15:00,0,24.143,92.638,22.905,0,1,326
6132,09/03/22 02:20:00,0,24.078,92.937,22.894,0,1,326
6133,09/03/22 02:25:00,0,24.078,92.959,22.898,0,0,317
6134,09/03/22 02:30:00,0,24.1,92.683,22.87,0,0.5,317
6135,09/03/22 02:35:00,0,24.078,93.274,22.954,0,0,317
6136,09/03/22 02:40:00,0,23.992,93.887,22.977,0,0,317
6137,09/03/22 02:45:00,0,24.014,94.044,23.026,0,0,317
6138,09/03/22 02:50:00,0,23.95,93.42,22.852,0,0,321
6139,09/03/22 02:55:00,0,23.95,93.71,22.904,0,0,321
6140,09/03/22 03:00:00,0,23.95,93.732,22.907,0,0,321
6141,09/03/22 03:05:00,0,23.907,93.82,22.88,0,0,321
6142,09/03/22 03:10:00,0,23.757,94.342,22.823,0,0,321
6143,09/03/22 03:15:00,0,23.649,94.995,22.83,0,0,321
6144,09/03/22 03:20:00,0,23.628,95.265,22.856,0,0,321
6145,09/03/22 03:25:00,0,23.671,94.963,22.846,0,0,321
6146,09/03/22 03:30:00,0,23.757,94.8,22.903,0,0,321
6147,09/03/22 03:35:00,0,23.799,94.817,22.949,0,0,321
6148,09/03/22 03:40:00,0,23.778,94.64,22.896,0,0,321
6149,09/03/22 03:45:00,0,23.714,95.018,22.898,0,0,321
6150,09/03/22 03:50:00,0,23.692,95.441,22.95,0,0,321
6151,09/03/22 03:55:00,0,23.671,95.669,22.969,0,0,321
6152,09/03/22 04:00:00,0,23.692,95.601,22.978,0,0,321
6153,09/03/22 04:05:00,0,23.692,95.573,22.973,0,0,321
6154,09/03/22 04:10:00,0,23.499,96.658,22.968,0,0.5,321
6155,09/03/22 04:15:00,0,23.435,96.963,22.956,0,0.5,320
6156,09/03/22 04:20:00,0,23.349,97.545,22.969,0,1,320
6157,09/03/22 04:25:00,0,23.306,97.762,22.963,0,0,320
6158,09/03/22 04:30:00,0,23.242,97.815,22.908,0,0,320
6159,09/03/22 04:35:00,0,23.199,98.112,22.915,0,0,320
6160,09/03/22 04:40:00,0,23.177,98.236,22.915,0,0,320
6161,09/03/22 04:45:00,0,23.22,98.044,22.925,0,0,320
6162,09/03/22 04:50:00,0,23.199,97.876,22.875,0,0,320
6163,09/03/22 04:55:00,0,23.177,98.067,22.886,0,0,320
6164,09/03/22 05:00:00,0,23.177,98.416,22.945,0,0,320
6165,09/03/22 05:05:00,0,23.156,98.412,22.923,0,0,320
6166,09/03/22 05:10:00,0,23.199,98.41,22.965,0,0,320
6167,09/03/22 05:15:00,0,23.199,98.343,22.954,0,0,320
6168,09/03/22 05:20:00,0,23.177,98.416,22.945,0,0,320
6169,09/03/22 05:25:00,0,23.113,98.686,22.926,0,0.5,320
6170,09/03/22 05:30:00,0,23.156,98.833,22.993,0,0,320
6171,09/03/22 05:35:00,0,23.156,98.43,22.926,0,1,286
6172,09/03/22 05:40:00,0,23.156,98.598,22.954,0,0.5,178
6173,09/03/22 05:45:00,0,23.113,98.476,22.891,0,0,178
6174,09/03/22 05:50:00,0,23.135,98.598,22.933,0,0.5,178
6175,09/03/22 05:55:00,0,23.113,98.442,22.885,0,0,178
6176,09/03/22 06:00:00,0,23.135,98.543,22.923,0,0.5,178
6177,09/03/22 06:05:00,0,23.092,98.791,22.922,0,0,178
6178,09/03/22 06:10:00,0,23.113,98.572,22.907,0,0,178
6179,09/03/22 06:15:00,0,23.135,98.314,22.885,0,0,178
6180,09/03/22 06:20:00,0,23.113,98.167,22.839,0,0,178
6181,09/03/22 06:25:00,0,23.07,98.251,22.81,0,0,178
6182,09/03/22 06:30:00,0,23.07,98.334,22.824,0,0,178
6183,09/03/22 06:35:00,0,23.049,98.538,22.837,0,0,178
6184,09/03/22 06:40:00,0,23.006,98.804,22.838,0,0,178
6185,09/03/22 06:45:00,0,23.006,98.64,22.811,0,0,178
6186,09/03/22 06:50:00,0,23.027,98.663,22.836,0,0,178
6187,09/03/22 06:55:00,0,22.984,99.062,22.86,0,0,178
6188,09/03/22 07:00:00,0,22.92,99.202,22.819,0,0,178
6189,09/03/22 07:05:00,0,22.92,99.202,22.819,0,0,178
6190,09/03/22 07:10:00,0,22.941,98.878,22.787,0,0,178
6191,09/03/22 07:15:00,0,22.963,98.909,22.813,0,0,178
6192,09/03/22 07:20:00,0,22.92,98.991,22.784,0,0,178
6193,09/03/22 07:25:00,0,22.877,99.051,22.751,0,0,178
6194,09/03/22 07:30:00,0,22.877,99.28,22.789,0,0,178
6195,09/03/22 07:35:00,0,22.813,99.496,22.761,0,0,178
6196,09/03/22 07:40:00,0,22.813,99.509,22.763,0,0,178
6197,09/03/22 07:45:00,0,22.813,99.536,22.767,0,0.5,178
6198,09/03/22 07:50:00,0,22.856,99.335,22.777,0,0,178
6199,09/03/22 07:55:00,0,22.834,99.368,22.761,0,0,178
6200,09/03/22 08:00:00,0,22.813,99.469,22.756,0,0,178
6201,09/03/22 08:05:00,0,22.856,99.478,22.801,0,0,178
6202,09/03/22 08:10:00,0,22.834,99.574,22.795,0,0,178
6203,09/03/22 08:15:00,0,22.856,99.591,22.819,0,0,178
6204,09/03/22 08:20:00,0,22.877,99.518,22.829,0,0,178
6205,09/03/22 08:25:00,0,22.877,99.467,22.82,0,0.5,178
6206,09/03/22 08:30:00,0,22.856,99.533,22.81,0,0,178
6207,09/03/22 08:35:00,0,22.856,99.574,22.817,0,0.5,178
6208,09/03/22 08:40:00,0,22.856,99.652,22.83,0,0.5,178
6209,09/03/22 08:45:00,0,22.834,99.68,22.813,0,0,178
6210,09/03/22 08:50:00,0,22.856,99.597,22.82,0,0,178
6211,09/03/22 08:55:00,0,22.834,99.597,22.799,0,0,178
6212,09/03/22 09:00:00,0,22.813,99.527,22.766,0,0.5,178
6213,09/03/22 09:05:00,0,22.813,99.67,22.79,0,0,178
6214,09/03/22 09:10:00,0,22.791,99.683,22.77,0,0,178
6215,09/03/22 09:15:00,0,22.813,99.765,22.805,0,0,178
