classes,ncloc,functions,duplicated_lines,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,file_complexity,violations,duplicated_blocks,duplicated_files,lines,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,Toxico
2746,150425,13115,35006,0,35.7,27307,41948,21.8,12.4,2521,11,10274,1302,455,282240,60159,43,2308,2824,4813,286,71695,38.3,28772,29.2,78749,1,1,10273,1,0,1.7,0,10044,216,0,2603,3,225,5,23576,0,246,5,0
2746,150425,13115,35006,0,35.6,27307,41948,21.8,12.4,2521,11,10279,1302,455,282240,60159,43,2308,2829,4813,286,71695,38.2,28772,29.2,78899,1,1,10278,1,0,1.7,0,10049,216,0,2603,3,225,5,23576,0,246,5,0
2734,149867,13078,34838,0,0,27234,41918,21.9,12.5,2510,11,10845,1294,451,279024,60015,51,2336,2904,5274,280,72676,0,0,0,133295,1,0,10845,0,0,3,4.85958486,10629,200,0,2323,5,270,5,23503,16380,252,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6192,342231,27231,34986,0,50.3,72655,53037,13.4,6,5899,12.3,22151,2175,862,583009,146251,2,3073,4264,14306,506,163621,54.2,92549,43.3,136687,1,0,22151,0,0,1.3,0,21958,179,0,2236,4,210,2,78845,540,0,1,0
6192,342231,27231,34986,0,50.3,72655,53037,13.4,6,5899,12.3,22151,2175,862,583009,146251,2,3073,4264,14306,506,163621,54.2,92549,43.4,136687,1,0,22151,0,0,1.3,0,21958,179,0,2236,4,210,2,78845,540,0,1,0
6141,340801,27090,35138,0,49.4,72325,52862,13.4,6.1,5851,12.4,23569,2177,864,580004,145792,2,3123,5068,14870,506,163022,53.3,92193,42.6,182567,1,0,23569,0,0,1.8,0.548302872,23262,165,0,2026,4,1490,2,78761,34470,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2923,549902,34023,13142,54,24.1,78366,63868,10.4,1.7,3224,29,17258,556,168,783618,259030,600,3411,5731,7195,321,190166,25.3,59925,20.5,181146,1,5,17258,0,0,1.1,0.987808835,16514,622,0,7065,5,2304,5,77996,215730,107,5,2
2896,547875,33883,12806,54,24.3,78093,63784,10.4,1.6,3194,29.2,17301,538,161,780826,258527,594,3448,5712,7223,324,189648,25.4,59862,20.6,181057,1,4,17301,0,0,1.1,1.219179973,16559,620,0,7100,5,2304,5,77883,1666530,110,5,2
