classes,functions,duplicated_lines,complexity,comment_lines,files,lines,statements,bugs,Toxicos
2746,13115,35006,27307,41948,2521,282240,60159,216,0
2746,13115,35006,27307,41948,2521,282240,60159,216,0
2734,13078,34838,27234,41918,2510,279024,60015,200,0
0,0,0,0,0,0,0,0,0,1
6192,27231,34986,72655,53037,5899,583009,146251,179,0
6192,27231,34986,72655,53037,5899,583009,146251,179,0
6141,27090,35138,72325,52862,5851,580004,145792,165,0
0,0,0,0,0,0,0,0,0,1
2923,34023,13142,78366,63868,3224,783618,259030,622,0
2896,33883,12806,78093,63784,3194,780826,258527,620,0
2857,33982,12716,79223,64906,3159,773122,265734,654,0
2803,33531,15560,78249,63974,3097,761335,262789,651,0
2536,30974,14403,72609,59412,2808,695142,239985,573,0
2393,29646,14535,68716,50024,2669,652063,226143,539,0
0,0,0,0,0,0,0,0,0,1
2776,15129,23597,34673,44151,2535,367457,89039,22,0
2726,14747,23076,34361,41426,2524,359420,89604,38,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
2353,14369,7212,20515,26817,2006,228939,33635,92,2
2356,14383,7350,20526,26817,2007,229031,33648,92,2
0,0,0,0,0,0,0,0,0,1
2320,14204,7140,20313,26471,1990,226838,33356,90,2
2320,14204,7113,20313,26469,1990,226672,33356,90,2
2320,14204,7113,20313,26469,1990,226671,33356,90,2
2320,14200,7113,20294,26468,1990,226608,33330,90,2
2320,14200,7113,20296,26469,1990,226615,33334,90,2
2296,14010,7113,20071,26190,1981,224587,32973,90,2
2296,14010,7113,20071,26190,1981,224587,32973,90,2
2296,14010,7113,20071,26190,1981,224587,32973,90,2
0,0,0,0,0,0,0,0,0,1
2296,14009,7113,20061,26178,1980,224489,32960,90,2
2296,14009,7113,20061,26178,1980,224489,32960,90,2
2293,13981,6899,20021,26083,1978,224093,32900,90,2
2293,13981,6899,20021,26083,1978,224093,32900,90,2
2293,13977,6949,20011,26062,1978,224024,32886,90,2
2293,13977,6949,20011,26038,1976,223890,32886,90,2
2293,13977,6949,20011,26038,1976,223890,32886,90,2
0,0,0,0,0,0,0,0,0,1
2293,13974,6949,20002,26014,1974,223730,32874,90,2
0,0,0,0,0,0,0,0,0,1
2293,13973,6949,20001,26013,1974,223712,32871,90,2
2293,13973,6949,20001,26012,1974,223697,32871,90,2
2293,13973,6949,20001,26012,1974,223693,32863,94,2
2291,13935,6703,19947,25888,1972,223147,32751,94,2
2289,13903,6703,19898,25774,1971,222708,32679,94,2
2289,13903,6703,19898,25774,1971,222708,32679,94,2
2289,13901,6703,19898,25767,1971,222698,32678,94,2
2289,13893,6682,19883,25759,1971,222598,32650,94,2
2289,13893,6682,19883,25747,1970,222531,32650,101,2
2288,13889,6682,19878,25738,1969,222459,32640,101,2
2281,13813,6391,19761,25530,1965,221529,32468,101,2
2255,13685,6338,19573,25404,1943,219459,32099,93,2
2256,13700,6338,19601,25404,1944,219537,32125,93,2
2255,13685,6338,19573,25404,1943,219459,32099,93,2
2255,13685,6338,19573,25404,1943,219459,32099,93,2
2255,13685,6338,19573,25404,1943,219459,32099,93,2
2255,13685,6338,19573,25404,1943,219459,32099,93,2
0,0,0,0,0,0,0,0,0,1
2255,13685,6338,19573,25404,1943,219461,32099,93,2
2255,13684,6338,19572,25403,1943,219455,32100,93,2
2255,13684,6338,19572,25403,1943,219455,32100,93,2
0,0,0,0,0,0,0,0,0,1
2252,13644,6338,19508,25226,1941,218738,31946,93,2
2252,13644,6338,19508,25226,1941,218738,31946,93,2
2252,13644,6338,19508,25226,1941,218738,31946,94,2
0,0,0,0,0,0,0,0,0,1
2249,13631,6338,19476,25216,1939,218458,31871,94,2
2248,13620,6338,19462,25197,1938,218272,31848,93,2
2248,13616,6338,19452,25196,1938,218227,31835,93,2
2183,13342,6338,19012,24819,1902,213927,31056,93,2
0,0,0,0,0,0,0,0,0,1
2183,13343,6338,19013,24797,1900,213805,31060,93,2
2183,13343,6338,19013,24797,1900,213805,31060,93,2
2183,13339,6338,19005,24790,1900,213748,31049,93,2
0,0,0,0,0,0,0,0,0,1
2183,13339,6338,19005,24790,1900,213748,31049,93,2
2182,13319,6338,18974,24786,1900,213575,31006,93,2
2182,13318,6338,18975,24745,1897,213368,31007,93,2
2182,13318,6338,18975,24745,1897,213368,31007,93,2
2181,13303,6338,18953,24741,1896,213238,30979,93,2
0,0,0,0,0,0,0,0,0,1
2180,13296,6338,18938,24732,1895,213099,30937,93,2
0,0,0,0,0,0,0,0,0,1
2180,13296,6338,18938,24732,1895,213067,30937,93,2
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
2192,13300,5865,19020,24634,1899,213262,31133,94,2
0,0,0,0,0,0,0,0,0,1
2192,13299,5865,19012,24623,1899,213179,31095,94,2
2192,13299,5865,19012,24623,1899,213179,31095,94,2
0,0,0,0,0,0,0,0,0,1
2192,13299,5865,19011,24623,1899,213175,31095,94,2
2192,13299,5865,19011,24623,1899,213175,31095,94,2
2192,13299,5865,19011,24623,1899,213175,31095,94,2
0,0,0,0,0,0,0,0,0,1
2192,13298,5867,19010,24616,1899,213157,31091,94,2
2172,13063,5709,18745,24146,1883,210526,30741,94,2
2172,13063,5709,18745,24146,1883,210526,30741,94,2
2172,13063,5709,18745,24146,1883,210526,30741,94,2
2172,13063,5709,18745,24146,1883,210526,30741,94,2
2172,13063,5709,18745,24146,1883,210526,30741,94,2
2172,13063,5709,18745,24146,1883,210526,30741,94,2
0,0,0,0,0,0,0,0,0,1
2172,13063,5709,18745,24145,1883,210523,30741,94,2
2172,13063,5709,18745,24145,1883,210523,30741,94,2
