Project,Analysis,From,To,Day,0-10,20-oct,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,%Toxicos,Toxics commits avarage,Number of authors with toxic commits,Number of authors with toxic commits > 50%,Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,classes,ncloc,functions,duplicated_lines,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,last_commit_date,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating
eclipse_kitalpha,5.2.0-SNAPSHOT,27/07/2021,13/09/2021,48,2,0,0,0,0,2,0,0,0,0,50%,0.277544796,1,1,4,0.083333333,1709,1,100,2746,150425,13115,35006,0,35.7,27307,41948,21.8,12.4,2521,0,11,10274,1302,455,282240,0,60159,43,2308,2824,4813,286,71695,38.3,28772,29.2,78749,1,13/09/2021 00:00,1,10273,1,0,1.7,0,10044,0,216,0,2603,3,225,5,23576,0,246,5
eclipse_kitalpha,5.1.0-SNAPSHOT,16/10/2020,27/07/2021,284,28,2,1,2,1,3,2,3,2,8,34%,0.282322132,4,4,52,0.183098592,1705,6,3.05795899,2746,150425,13115,35006,0,35.6,27307,41948,21.8,12.4,2521,0,11,10279,1302,455,282240,0,60159,43,2308,2829,4813,286,71695,38.2,28772,29.2,78899,1,27/07/2021 00:00,1,10278,1,0,1.7,0,10049,0,216,0,2603,3,225,5,23576,0,246,5
eclipse_kitalpha,5.0.0-SNAPSHOT,05/08/2020,16/10/2020,72,3,5,1,0,1,1,0,0,3,0,28%,0.227940066,3,3,14,0.194444444,1653,4,22.26345083,2734,149867,13078,34838,,0,27234,41918,21.9,12.5,2510,0,11,10845,1294,451,279024,0,60015,51,2336,2904,5274,280,72676,0,,,133295,1,16/10/2020 00:00,0,10845,0,0,3,4.85958486,10629,0,200,0,2323,5,270,5,23503,16380,252,1
eclipse_kitalpha,1.4.0-SNAPSHOT,05/08/2020,05/08/2020,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,1639,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eclipse_capella,5.2.0-SNAPSHOT,07/09/2021,16/09/2021,9,0,1,0,0,0,1,0,0,0,2,75%,0.626329422,2,2,4,0.444444444,4813,2,37.5,6192,342231,27231,34986,,50.3,72655,53037,13.4,6,5899,0,12.3,22151,2175,862,583009,0,146251,2,3073,4264,14306,506,163621,54.2,92549,43.3,136687,1,16/09/2021 00:00,0,22151,0,0,1.3,0,21958,0,179,0,2236,4,210,2,78845,540,0,1
eclipse_capella,5.1.0-SNAPSHOT,22/02/2021,07/09/2021,197,28,2,3,2,3,6,1,2,10,11,44%,0.35933158,10,10,68,0.345177665,4809,17,2.652184895,6192,342231,27231,34986,,50.3,72655,53037,13.4,6,5899,0,12.3,22151,2175,862,583009,0,146251,2,3073,4264,14306,506,163621,54.2,92549,43.4,136687,1,09/07/2021 00:00,0,22151,0,0,1.3,0,21958,0,179,0,2236,4,210,2,78845,540,0,1
eclipse_capella,5.0.0-SNAPSHOT,11/09/2020,22/02/2021,164,49,20,12,5,7,4,3,7,16,10,30%,0.243656847,11,11,133,0.81097561,4741,17,1.789845931,6141,340801,27090,35138,,49.4,72325,52862,13.4,6.1,5851,0,12.4,23569,2177,864,580004,0,145792,2,3123,5068,14870,506,163022,53.3,92193,42.6,182567,1,22/02/2021 00:00,0,23569,0,0,1.8,0.548302872,23262,0,165,0,2026,4,1490,2,78761,34470,0,1
eclipse_capella,1.4.0-SNAPSHOT,11/09/2020,11/09/2020,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,4608,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_incubator-hop,1.1.0-SNAPSHOT,21/09/2021,26/10/2021,35,100,24,10,14,12,11,15,19,15,19,33%,0.255959307,6,6,239,6.828571429,3103,9,1.509719739,2923,549902,34023,13142,54,24.1,78366,63868,10.4,1.7,3224,0,29,17258,556,168,783618,0,259030,600,3411,5731,7195,321,190166,25.3,59925,20.5,181146,1,26/10/2021 00:00,5,17258,0,0,1.1,0.987808835,16514,0,622,0,7065,5,2304,5,77996,215730,107,5
apache_incubator-hop,1.0-SNAPSHOT,06/06/2021,21/09/2021,107,252,45,32,34,37,24,26,63,41,42,32%,0.255992403,11,11,596,5.570093458,2864,15,0.410058673,2896,547875,33883,12806,54,24.3,78093,63784,10.4,1.6,3194,0,29.2,17301,538,161,780826,0,258527,594,3448,5712,7223,324,189648,25.4,59862,20.6,181057,1,21/09/2021 00:00,4,17301,0,0,1.1,1.219179973,16559,0,620,0,7100,5,2304,5,77883,1666530,110,5
