Date,"Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP)","Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP)","RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP)","Dew Point (S-THC 21246400:21262596-3), *C, PATFA1 (INIAP)","Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP)","Gust Speed (S-WSB 21246400:21262656-2), m/s, PATFA1 (INIAP)","Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP)"
12/23/22 00:00:00,0,25.108,87.05,22.829,0,0,88
12/23/22 00:05:00,0,25.065,87.146,22.805,0,0.5,88
12/23/22 00:10:00,0,24.958,86.888,22.651,0,0,88
12/23/22 00:15:00,0,24.807,87.141,22.551,0,0,88
12/23/22 00:20:00,0,24.679,87.739,22.537,0,0,88
12/23/22 00:25:00,0.2,24.593,88.638,22.621,0,0,88
12/23/22 00:30:00,0,24.593,88.568,22.608,0,0,88
12/23/22 00:35:00,0,24.529,88.574,22.546,0,0,88
12/23/22 00:40:00,0,24.443,88.092,22.371,0,0,88
12/23/22 00:45:00,0,24.336,89.224,22.476,0,0,88
12/23/22 00:50:00,0,24.207,89.47,22.394,0,0,88
12/23/22 00:55:00,0,24.121,90.121,22.429,0,0,88
12/23/22 01:00:00,0,24.121,89.801,22.37,0,0,88
12/23/22 01:05:00,0,24.057,90.085,22.358,0,0,88
12/23/22 01:10:00,0,23.95,90.01,22.239,0,0,88
12/23/22 01:15:00,0,23.864,90.149,22.179,0,0,88
12/23/22 01:20:00,0,23.799,90.239,22.132,0,0,88
12/23/22 01:25:00,0,23.778,90.875,22.227,0,0,88
12/23/22 01:30:00,0,23.714,90.977,22.181,0,0,88
12/23/22 01:35:00,0,23.714,91.106,22.205,0,0,88
12/23/22 01:40:00,0,23.606,91.269,22.128,0,0,88
12/23/22 01:45:00,0,23.649,91.055,22.132,0,0,88
12/23/22 01:50:00,0,23.585,91.191,22.093,0,0,88
12/23/22 01:55:00,0,23.649,91.083,22.137,0,0,88
12/23/22 02:00:00,0,23.563,91.229,22.078,0,0,88
12/23/22 02:05:00,0,23.499,91.279,22.024,0,0,88
12/23/22 02:10:00,0,23.499,91.319,22.031,0,0,88
12/23/22 02:15:00,0,23.413,91.36,21.953,0,0,88
12/23/22 02:20:00,0,23.263,91.164,21.769,0,0,88
12/23/22 02:25:00,0,23.092,91.719,21.699,0,0,88
12/23/22 02:30:00,0,23.177,91.177,21.687,0,0,88
12/23/22 02:35:00,0,23.242,90.845,21.691,0,0,88
12/23/22 02:40:00,0,23.306,91.101,21.8,0,0,88
12/23/22 02:45:00,0,23.435,90.806,21.875,0,0,88
12/23/22 02:50:00,0,23.649,89.9,21.922,0,0,88
12/23/22 02:55:00,0,23.606,90.202,21.935,0,0,88
12/23/22 03:00:00,0,23.499,90.651,21.91,0,0,88
12/23/22 03:05:00,0,23.478,91.183,21.985,0,0,88
12/23/22 03:10:00,0,23.499,91.305,22.028,0,0,88
12/23/22 03:15:00,0,23.542,91.051,22.025,0,0,88
12/23/22 03:20:00,0,23.435,91.099,21.928,0,0,88
12/23/22 03:25:00,0,23.37,91.179,21.878,0,0,88
12/23/22 03:30:00,0,23.37,91.424,21.922,0,0,88
12/23/22 03:35:00,0,23.199,92.441,21.934,0,0,88
12/23/22 03:40:00,0,23.156,92.538,21.909,0,0,88
12/23/22 03:45:00,0,23.135,92.45,21.872,0,0,88
12/23/22 03:50:00,0,23.135,92.61,21.9,0,0,88
12/23/22 03:55:00,0,23.199,92.277,21.905,0,0,88
12/23/22 04:00:00,0,23.113,92.244,21.814,0,0,88
12/23/22 04:05:00,0,23.006,92.222,21.704,0,0,88
12/23/22 04:10:00,0,22.941,92.676,21.72,0,0,88
12/23/22 04:15:00,0,22.877,92.981,21.71,0,0,88
12/23/22 04:20:00,0,22.899,93.114,21.755,0,0,88
12/23/22 04:25:00,0,22.813,93.429,21.725,0,0,88
12/23/22 04:30:00,0,22.877,92.868,21.69,0,0,88
12/23/22 04:35:00,0,22.856,92.909,21.676,0,0,88
12/23/22 04:40:00,0,22.748,93.042,21.593,0,0,88
12/23/22 04:45:00,0,22.748,93.014,21.588,0,0,88
12/23/22 04:50:00,0,22.748,92.982,21.583,0,0,88
12/23/22 04:55:00,0,22.62,93.211,21.495,0,0,88
12/23/22 05:00:00,0,22.577,93.747,21.546,0,0,88
12/23/22 05:05:00,0,22.62,94.594,21.736,0,0,88
12/23/22 05:10:00,0,22.727,94.653,21.853,0,0,88
12/23/22 05:15:00,0,22.791,93.989,21.802,0,0,88
12/23/22 05:20:00,0,22.963,93.773,21.935,0,0,88
12/23/22 05:25:00,0,22.963,93.777,21.935,0,0,88
12/23/22 05:30:00,0,22.963,93.518,21.89,0,0,88
12/23/22 05:35:00,0.2,23.006,93.338,21.901,0,0,88
12/23/22 05:40:00,0,22.984,93.165,21.849,0,0,88
12/23/22 05:45:00,0,23.092,93.907,22.086,0,0,88
12/23/22 05:50:00,0,23.156,93.555,22.088,0,0,88
12/23/22 05:55:00,0,23.22,93.55,22.151,0,0,88
12/23/22 06:00:00,0,23.263,94.029,22.278,0,0,88
12/23/22 06:05:00,0,23.263,93.466,22.179,0,0,88
12/23/22 06:10:00,0,23.306,93.727,22.267,0,0,88
12/23/22 06:15:00,0,23.328,93.999,22.336,0,0,88
12/23/22 06:20:00,0,23.456,94.273,22.512,0,0,88
12/23/22 06:25:00,0,23.521,93.869,22.505,0,0,88
12/23/22 06:30:00,0,23.478,93.184,22.342,0,0,88
12/23/22 06:35:00,0,23.478,93.484,22.395,0,0,88
12/23/22 06:40:00,0,23.478,94.034,22.492,0,0,88
12/23/22 06:45:00,0,23.521,93.393,22.422,0,0.5,88
12/23/22 06:50:00,0,23.435,93.622,22.377,0,0.5,88
12/23/22 06:55:00,0,23.392,94.09,22.416,0,0,88
12/23/22 07:00:00,0,23.37,94.304,22.432,0,0,88
12/23/22 07:05:00,0,23.37,94.305,22.433,0,0,88
12/23/22 07:10:00,0,23.392,94.377,22.467,0,0,88
12/23/22 07:15:00,0,23.349,94.163,22.387,0,0,88
12/23/22 07:20:00,0,23.328,94.31,22.391,0,0,88
12/23/22 07:25:00,0,23.456,94.491,22.551,0,0,88
12/23/22 07:30:00,0,23.456,94.369,22.529,0,0,88
12/23/22 07:35:00,0,23.456,94.443,22.542,0,0,88
12/23/22 07:40:00,0,23.478,94.374,22.551,0,0,88
12/23/22 07:45:00,0,23.456,94.447,22.543,0,0,88
12/23/22 07:50:00,0,23.413,94.597,22.526,0,0,88
12/23/22 07:55:00,0,23.37,94.649,22.493,0,0,88
12/23/22 08:00:00,0,23.349,94.835,22.504,0,0,88
12/23/22 08:05:00,0,23.392,95,22.575,0,0,88
12/23/22 08:10:00,0,23.413,94.287,22.472,0,1,88
12/23/22 08:15:00,0,23.435,94.766,22.577,0,0.5,88
