Project,Analysis,From,To,Day,0-10,20-oct,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,%Toxicos,Toxics commits avarage,Number of authors with toxic commits,Number of authors with toxic commits > 50%,Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,classes,ncloc,functions,duplicated_lines,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,last_commit_date,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating
eclipse_kitalpha,5.2.0-SNAPSHOT,27/07/2021,13/09/2021,48,2,0,0,0,0,2,0,0,0,0,50%,0.277544796,1,1,4,0.083333333,1709,1,100.0,2746.0,150425.0,13115.0,35006.0,0.0,35.7,27307.0,41948.0,21.8,12.4,2521.0,0,11.0,10274.0,1302.0,455.0,282240.0,0,60159.0,43.0,2308.0,2824.0,4813.0,286.0,71695.0,38.3,28772.0,29.2,78749.0,1.0,13/09/2021 00:00,1.0,10273.0,1.0,0.0,1.7,0.0,10044.0,0,216.0,0.0,2603.0,3.0,225.0,5.0,23576.0,0.0,246.0,5.0
eclipse_kitalpha,5.1.0-SNAPSHOT,16/10/2020,27/07/2021,284,28,2,1,2,1,3,2,3,2,8,34%,0.282322132,4,4,52,0.183098592,1705,6,3.05795899,2746.0,150425.0,13115.0,35006.0,0.0,35.6,27307.0,41948.0,21.8,12.4,2521.0,0,11.0,10279.0,1302.0,455.0,282240.0,0,60159.0,43.0,2308.0,2829.0,4813.0,286.0,71695.0,38.2,28772.0,29.2,78899.0,1.0,27/07/2021 00:00,1.0,10278.0,1.0,0.0,1.7,0.0,10049.0,0,216.0,0.0,2603.0,3.0,225.0,5.0,23576.0,0.0,246.0,5.0
eclipse_kitalpha,5.0.0-SNAPSHOT,05/08/2020,16/10/2020,72,3,5,1,0,1,1,0,0,3,0,28%,0.227940066,3,3,14,0.194444444,1653,4,22.26345083,2734.0,149867.0,13078.0,34838.0,0.0,0.0,27234.0,41918.0,21.9,12.5,2510.0,0,11.0,10845.0,1294.0,451.0,279024.0,0,60015.0,51.0,2336.0,2904.0,5274.0,280.0,72676.0,0.0,0.0,0.0,133295.0,1.0,16/10/2020 00:00,0.0,10845.0,0.0,0.0,3.0,4.85958486,10629.0,0,200.0,0.0,2323.0,5.0,270.0,5.0,23503.0,16380.0,252.0,1.0
eclipse_kitalpha,1.4.0-SNAPSHOT,05/08/2020,05/08/2020,0,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0,0,0.0,1639,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eclipse_capella,5.2.0-SNAPSHOT,07/09/2021,16/09/2021,9,0,1,0,0,0,1,0,0,0,2,75%,0.626329422,2,2,4,0.444444444,4813,2,37.5,6192.0,342231.0,27231.0,34986.0,0.0,50.3,72655.0,53037.0,13.4,6.0,5899.0,0,12.3,22151.0,2175.0,862.0,583009.0,0,146251.0,2.0,3073.0,4264.0,14306.0,506.0,163621.0,54.2,92549.0,43.3,136687.0,1.0,16/09/2021 00:00,0.0,22151.0,0.0,0.0,1.3,0.0,21958.0,0,179.0,0.0,2236.0,4.0,210.0,2.0,78845.0,540.0,0.0,1.0
eclipse_capella,5.1.0-SNAPSHOT,22/02/2021,07/09/2021,197,28,2,3,2,3,6,1,2,10,11,44%,0.35933158,10,10,68,0.345177665,4809,17,2.652184895,6192.0,342231.0,27231.0,34986.0,0.0,50.3,72655.0,53037.0,13.4,6.0,5899.0,0,12.3,22151.0,2175.0,862.0,583009.0,0,146251.0,2.0,3073.0,4264.0,14306.0,506.0,163621.0,54.2,92549.0,43.4,136687.0,1.0,09/07/2021 00:00,0.0,22151.0,0.0,0.0,1.3,0.0,21958.0,0,179.0,0.0,2236.0,4.0,210.0,2.0,78845.0,540.0,0.0,1.0
eclipse_capella,5.0.0-SNAPSHOT,11/09/2020,22/02/2021,164,49,20,12,5,7,4,3,7,16,10,30%,0.243656847,11,11,133,0.81097561,4741,17,1.789845931,6141.0,340801.0,27090.0,35138.0,0.0,49.4,72325.0,52862.0,13.4,6.1,5851.0,0,12.4,23569.0,2177.0,864.0,580004.0,0,145792.0,2.0,3123.0,5068.0,14870.0,506.0,163022.0,53.3,92193.0,42.6,182567.0,1.0,22/02/2021 00:00,0.0,23569.0,0.0,0.0,1.8,0.548302872,23262.0,0,165.0,0.0,2026.0,4.0,1490.0,2.0,78761.0,34470.0,0.0,1.0
eclipse_capella,1.4.0-SNAPSHOT,11/09/2020,11/09/2020,0,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0,0,0.0,4608,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apache_incubator-hop,1.1.0-SNAPSHOT,21/09/2021,26/10/2021,35,100,24,10,14,12,11,15,19,15,19,33%,0.255959307,6,6,239,6.828571429,3103,9,1.509719739,2923.0,549902.0,34023.0,13142.0,54.0,24.1,78366.0,63868.0,10.4,1.7,3224.0,0,29.0,17258.0,556.0,168.0,783618.0,0,259030.0,600.0,3411.0,5731.0,7195.0,321.0,190166.0,25.3,59925.0,20.5,181146.0,1.0,26/10/2021 00:00,5.0,17258.0,0.0,0.0,1.1,0.987808835,16514.0,0,622.0,0.0,7065.0,5.0,2304.0,5.0,77996.0,215730.0,107.0,5.0
apache_incubator-hop,1.0-SNAPSHOT,06/06/2021,21/09/2021,107,252,45,32,34,37,24,26,63,41,42,32%,0.255992403,11,11,596,5.570093458,2864,15,0.410058673,2896.0,547875.0,33883.0,12806.0,54.0,24.3,78093.0,63784.0,10.4,1.6,3194.0,0,29.2,17301.0,538.0,161.0,780826.0,0,258527.0,594.0,3448.0,5712.0,7223.0,324.0,189648.0,25.4,59862.0,20.6,181057.0,1.0,21/09/2021 00:00,4.0,17301.0,0.0,0.0,1.1,1.219179973,16559.0,0,620.0,0.0,7100.0,5.0,2304.0,5.0,77883.0,1666530.0,110.0,5.0
apache_incubator-hop,0.99-SNAPSHOT,27/03/2021,06/06/2021,71,198,31,23,19,22,18,12,21,37,27,28%,0.223435028,6,6,408,5.746478873,2268,10,0.704255181,2857.0,528661.0,33982.0,12716.0,85.0,24.6,79223.0,64906.0,10.9,1.6,3159.0,0,30.0,23992.0,541.0,173.0,773122.0,0,265734.0,662.0,3815.0,9230.0,9766.0,519.0,186369.0,25.9,59866.0,20.7,214490.0,1.0,06/06/2021 00:00,0.0,23992.0,0.0,0.0,1.4,0.70316173,23221.0,0,654.0,0.0,7256.0,5.0,2164.0,5.0,79538.0,340320.0,143.0,5.0
apache_incubator-hop,0.70-SNAPSHOT,16/01/2021,27/03/2021,70,156,45,24,23,23,23,22,32,32,35,34%,0.269699501,8,8,415,5.928571429,1860,12,0.727609485,2803.0,519799.0,33531.0,15560.0,85.0,24.6,78249.0,63974.0,11.0,2.0,3097.0,0,30.2,22717.0,624.0,189.0,761335.0,0,262789.0,670.0,3782.0,8026.0,9723.0,516.0,182982.0,26.0,60225.0,20.3,208303.0,1.0,27/03/2021 00:00,0.0,22717.0,0.0,0.0,1.3,0.969932105,21951.0,0,651.0,0.0,7107.0,5.0,2132.0,5.0,78773.0,1886730.0,134.0,5.0
apache_incubator-hop,0.60-SNAPSHOT,16/12/2020,16/01/2021,31,81,23,17,13,13,18,14,15,7,9,30%,0.214425151,6,6,210,6.774193548,1445,9,1.823411545,2536.0,461716.0,30974.0,14403.0,85.0,27.1,72609.0,59412.0,11.4,2.1,2808.0,0,31.1,21248.0,579.0,178.0,695142.0,0,239985.0,587.0,3536.0,7609.0,8985.0,531.0,162620.0,29.3,60103.0,21.1,198292.0,1.0,16/01/2021 00:00,0.0,21248.0,0.0,0.0,1.4,1.236334355,20561.0,0,573.0,0.0,6312.0,5.0,2112.0,5.0,73793.0,322890.0,102.0,5.0
apache_incubator-hop,0.50-SNAPSHOT,16/11/2020,16/12/2020,30,55,28,18,17,5,12,17,8,12,17,34%,0.267043018,6,6,189,6.3,1235,11,1.095026415,2393.0,430636.0,29646.0,14535.0,104.0,26.6,68716.0,50024.0,10.4,2.2,2669.0,0,31.2,19875.0,601.0,183.0,652063.0,0,226143.0,559.0,3275.0,7125.0,8417.0,499.0,151701.0,28.9,57138.0,20.3,184451.0,1.0,16/12/2020 00:00,0.0,19875.0,0.0,0.0,1.4,13.3974359,19224.0,0,539.0,0.0,5923.0,5.0,2052.0,5.0,69465.0,1560.0,105.0,1.0
apache_incubator-hop,not provided,16/11/2020,16/11/2020,0,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0,0,0.0,1046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constellation-app_constellation,2,05/08/2021,26/10/2021,82,160,18,6,7,3,2,6,11,5,8,14%,0.112038756,9,9,226,2.756097561,1573,14,3.008930658,2776.0,226953.0,15129.0,23597.0,0.0,24.9,34673.0,44151.0,16.3,6.4,2535.0,0,14.6,8211.0,1544.0,410.0,367457.0,0,89039.0,12.0,179.0,4877.0,3020.0,123.0,140247.0,24.4,33199.0,26.6,130795.0,1.0,26/10/2021 00:00,102.0,8211.0,0.0,0.0,1.9,0.489607792,8187.0,0,22.0,0.0,385.0,5.0,30.0,4.0,30481.0,114990.0,21.0,5.0
