Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
4,0.083333333,1709,1,100.0,0
52,0.183098592,1705,6,3.05795899,0
14,0.194444444,1653,4,22.26345083,0
0,0.0,1639,0,0.0,0
4,0.444444444,4813,2,37.5,2
68,0.345177665,4809,17,2.652184895,2
133,0.81097561,4741,17,1.789845931,2
0,0.0,4608,0,0.0,2
239,6.828571429,3103,9,1.509719739,0
596,5.570093458,2864,15,0.410058673,0
408,5.746478873,2268,10,0.704255181,0
415,5.928571429,1860,12,0.727609485,0
210,6.774193548,1445,9,1.823411545,0
189,6.3,1235,11,1.095026415,0
0,0.0,1046,0,0.0,0
226,2.756097561,1573,14,3.008930658,0
248,0.654353562,1347,15,1.900766041,0
0,0.0,1099,0,0.0,0
0,0.0,7705,0,0.0,2
12,12.0,7705,5,11.4379085,2
17,4.25,7693,8,7.118141374,2
0,0.0,7676,0,0.0,2
12,12.0,7676,3,11.9047619,2
13,6.5,7664,4,14.47963801,2
1,0.5,7651,1,100.0,2
9,9.0,7650,4,19.75308642,2
9,9.0,7641,3,15.55555556,2
21,10.5,7632,6,6.256517205,2
8,8.0,7611,3,17.30769231,2
11,3.666666667,7603,3,12.91866029,2
0,0.0,7592,0,0.0,2
13,13.0,7592,4,9.925558313,2
10,10.0,7579,3,18.26086957,2
13,13.0,7569,4,12.51629726,2
8,2.666666667,7556,4,15.625,2
14,14.0,7548,4,12.19512195,2
18,9.0,7534,2,19.75308642,2
7,7.0,7516,4,17.58241758,2
0,0.0,7509,0,0.0,2
19,4.75,7509,5,7.368421053,2
0,0.0,7490,0,0.0,2
21,10.5,7490,5,6.683375104,2
10,10.0,7469,4,12.72727273,2
14,3.5,7459,6,9.703504043,2
21,21.0,7445,4,8.556149733,2
10,5.0,7424,3,14.11764706,2
7,2.333333333,7414,3,19.48051948,2
13,13.0,7407,5,9.355509356,2
11,11.0,7394,4,16.78321678,2
7,7.0,7383,3,19.48051948,2
13,13.0,7376,4,9.925558313,2
13,3.25,7363,3,14.42307692,2
34,17.0,7350,5,6.025824964,2
10,10.0,7316,3,14.11764706,2
7,7.0,7306,2,24.48979592,2
7,2.333333333,7299,2,24.48979592,2
7,7.0,7292,2,24.48979592,2
13,13.0,7285,4,11.78396072,2
0,0.0,7272,0,0.0,2
11,11.0,7272,5,10.97178683,2
22,5.5,7261,4,9.59040959,2
9,9.0,7239,3,15.55555556,2
0,0.0,7230,0,0.0,2
19,9.5,7230,3,17.45152355,2
10,10.0,7211,2,18.0,2
10,3.333333333,7201,3,18.26086957,2
0,0.0,7191,0,0.0,2
13,13.0,7191,4,11.78396072,2
12,12.0,7178,5,10.1010101,2
13,13.0,7166,6,11.78396072,2
17,4.25,7153,3,11.22994652,2
0,0.0,7136,0,0.0,2
7,7.0,7136,3,19.48051948,2
11,11.0,7129,4,11.63636364,2
17,8.5,7118,5,9.515570934,2
0,0.0,7101,0,0.0,2
19,4.75,7101,4,8.202323992,2
7,7.0,7082,4,17.58241758,2
24,12.0,7075,2,15.27777778,2
2,1.0,7051,1,100.0,2
18,9.0,7049,4,10.69958848,2
0,0.0,7031,0,0.0,2
22,11.0,7031,6,6.706408346,2
0,0.0,7009,0,0.0,2
25,6.25,7009,4,12.2247191,2
0,0.0,6984,0,0.0,2
0,0.0,6984,0,0.0,2
22,11.0,6984,6,6.706408346,2
0,0.0,6962,0,0.0,2
13,13.0,6962,4,9.925558313,2
14,3.5,6949,3,13.46938776,2
0,0.0,6935,0,0.0,2
23,11.5,6935,3,12.39130435,2
12,12.0,6912,3,15.51724138,2
7,1.75,6900,3,24.48979592,2
0,0.0,6893,0,0.0,2
11,11.0,6893,5,12.39669421,2
